Bairro,Latitude,Longitude,PrecoMedio,Size
Jardim Botânico,-16.7294081,-49.3891109,300,3
Jardim das Oliveiras,-16.7019901,-49.3725948,300,3
Residencial Jardim Leblon,-16.6747365,-49.3332634,300,3
Jardins do Cerrado,-16.6672571,-49.4194602,300,3
Vila João Vaz,-16.6508788,-49.31195,300,3
Lorena Parque,-16.6963641,-49.3613469,300,3
Luana Park,-16.6965162,-49.3633829,300,3
Maysa,-16.6469215,-49.3916873,300,3
Monte Pascoal,-16.6938933,-49.4043942,300,3
Parque Eldorado Oeste,-16.6881362,-49.4122353,300,3
Parque Industrial João Braz,-16.6847107,-49.3632871,300,3
Residencial Primavera,-16.6820286,-49.394907,300,3
Solange Parque,-16.6990968,-49.3574643,300,3
Solar Ville,-16.6312982,-49.3654752,300,3
Aldeia do Vale,-16.611956,-49.1974537,300,3
AlphaVille Flamboyant,-16.714815,-49.2041481,300,3
Bairro Feliz,-16.665949,-49.2304121,300,3
Brisas do Cerrado,-16.7570484,-49.1957433,300,3
Chácara do Governador,-16.7274218,-49.2285179,300,3
Conjunto Caiçara,-16.6563216,-49.2158227,300,3
Jardim Atenas,-16.5947475,-49.3538176,300,3
Jardim Conquista,-16.6674616,-49.1946788,300,3
Jardim da Luz,-16.7238528,-49.2402817,300,3
Jardim Novo Mundo,-16.674725,-49.2248837,300,3
Parque das Laranjeiras,-16.7263881,-49.2342478,300,3
Rio Jordão,-16.6421661,-49.190514,300,3
Vila Bandeirantes,-16.6725291,-49.2296327,300,3
Residencial Center Ville,-16.7531126,-49.3513941,300,3
Residencial Eldorado,-16.707845,-49.3304226,300,3
Eli Forte,-16.733829,-49.3576103,300,3
Faiçalville,-16.737156,-49.3264406,300,3
Forteville,-16.7469732,-49.3812196,300,3
Garavelo,-16.7474995,-49.3705031,300,3
Jardim Atlântico,-16.7347665,-49.2988112,300,3
Jardim Ana Lúcia,-16.6999882,-49.3159072,300,3
Jardim Eli Forte,-16.7349946,-49.3500005,300,3
Jardim Europa,-16.7160002,-49.3088252,300,3
Jardim Planalto,-16.7152992,-49.3146086,300,3
Jardim Presidente,-16.7362492,-49.3409385,100,3
Madre Germana 2,-16.8153489,-49.3833001,100,3
Moinho dos Ventos,-16.7297001,-49.3512258,100,3
Novo Horizonte,-16.7188153,-49.3155271,100,3
Parque Anhanguera,-16.7251965,-49.3039299,100,3
Parque Oeste Industrial,-16.6942655,-49.334987,100,3
Real Conquista,-16.7804079,-49.3900762,100,3
Rio Formoso,-16.7221609,-49.3374767,100,3
Sudoeste,-16.6956433,-49.3038433,100,3
Ulisses Guimarães,-16.7300203,-49.3348791,100,3
União,-16.7024906,-49.3184675,100,3
Vila Adélia,-16.6877373,-49.3283129,100,3
Vila dos Alpes,-16.7027701,-49.3017132,100,3
Vila Lucy,-16.688002,-49.3177967,100,3
Vila Mauá,-16.7020172,-49.3242911,100,3
Sul,-16.6904152,-49.2615958,100,3
Sol Nascente,-16.6883963,-49.2977607,100,3
Jardim das Hortensias,-16.6219536,-49.3382034,100,3
Jardim Petrópolis,-16.6674978,-49.3566162,100,3
Jardim Vila Boa,-16.728432,-49.3249748,100,3
Jardim Brasil,-16.6931723,-49.2179387,100,3
Vila Santana,-16.659818,-49.2970956,100,3
Vila Santa Helena,-16.6554261,-49.2871844,100,3
Jardim Dom Fernando II,-16.6666475,-49.2003173,100,3
Condomínio das Esmeraldas,-16.7845426,-49.3641348,100,3
Jardim Colorado,-16.6311692,-49.3386919,100,3
São Francisco,-16.6662604,-49.3423519,101,4
Vila Aurora Oeste,-16.6781859,-49.3076919,102,5
dos Funcionários,-16.6698038,-49.2840028,100,6
Residencial Aldeia do Vale,-16.6119769,-49.1974322,101,7
Residencial Granville,-16.7152406,-49.3318752,102,8
Residencial Alphaville Flamboyant,-16.7139111,-49.2017694,103,9
Estrela Dalva,-16.5923061,-49.3297323,104,10
Alphaville Flamboyant Residencial Araguaia,-16.7139112,-49.2017695,105,11
Barra da Tijuca,-16.6570783,-49.3611713,106,12
Jardins Madri,-16.7483909,-49.3454267,107,13
